timestamp,vehicle_ids,overlap_ratio,relative_speed,velocities,centers,alert_sent,notes
2025-06-20 16:52:52,"['2', '3']",0.6607142857142857,24.829289870125905,"[(-24.347121837773777, 3.8955394940438044), (0.0, -0.9738848735109511)]","[(347, 334), (362, 314)]",False,Automated detection
2025-06-20 16:52:53,"['3', '4']",0.8844346817987675,1.9719414718447361,"[(0.0, -0.8818790357391636), (-1.7637580714783272, 0.0)]","[(362, 313), (363, 317)]",False,Automated detection
2025-06-20 16:52:53,"['1', '9']",0.6277460348734115,3.24293664747643,"[(0.648587329495286, 0.0), (-2.594349317981144, 0.0)]","[(672, 304), (585, 303)]",False,Automated detection
2025-06-20 16:52:53,"['8', '9']",0.7982459529420856,5.97967971871866,"[(-8.431635283438718, 1.297174658990572), (-2.594349317981144, 0.0)]","[(551, 308), (585, 303)]",False,Automated detection
2025-06-20 16:52:54,"['2', '4']",0.6556672550072903,4.723861137378944,"[(-4.050677507350858, 2.4304065044105148), (0.0, 0.0)]","[(324, 341), (362, 318)]",False,Automated detection
2025-06-20 17:01:15,"['7', '8']",0.7594330205629867,16.80047707162239,"[(-14.80068514371574, 16.280753658087313), (-10.65423001206579, 0.0)]","[(409, 44), (402, 40)]",False,Automated detection
2025-06-20 17:01:17,"['6', '8']",0.3334952803997779,9.398847843878833,"[(-9.905731212252254, 5.734897017619726), (-2.085417097316264, 0.521354274329066)]","[(518, 26), (398, 41)]",False,Automated detection
2025-06-20 17:01:19,"['7', '11']",0.5201999885064077,8.755308829059382,"[(-5.605012126608501, 6.726014551930201), (0.0, 0.0)]","[(385, 70), (357, 73)]",False,Automated detection
2025-06-20 17:01:20,"['6', '7']",0.6918259193833307,85.41150071603447,"[(-4.121971641632631, 3.434976368027192), (77.63046591741454, -21.29685348176859)]","[(499, 39), (498, 39)]",False,Automated detection
2025-06-20 17:01:21,"['7', '8']",0.47723935389133626,64.46770875154031,"[(61.20820412828065, -16.107422139021224), (-1.073828142601415, 0.5369140713007075)]","[(499, 40), (393, 44)]",False,Automated detection
2025-06-20 17:01:22,"['6', '8']",0.5995569776027566,66.40257844689945,"[(-6.953622964734933, 3.792885253491782), (59.42186897137125, 1.896442626745891)]","[(487, 46), (487, 47)]",False,Automated detection
2025-06-20 17:01:23,"['11', '14']",0.751931330472103,32.18235754351756,"[(-0.8467120218942163, 5.080272131365298), (27.381359306963656, 20.536019480222745)]","[(350, 101), (364, 104)]",False,Automated detection
2025-06-20 17:01:25,"['3', '14']",0.3191358155952963,15.537988427734506,"[(-2.9765387471092355, 1.4882693735546177), (-17.859232482655415, 5.953077494218471)]","[(210, 118), (340, 112)]",False,Automated detection
2025-06-20 17:01:25,"['6', '7']",0.5883982073619014,4.974462953492498,"[(-2.984677772095499, 1.9897851813969993), (1.9897851813969993, 1.9897851813969993)]","[(475, 53), (503, 50)]",False,Automated detection
2025-06-20 17:01:26,"['7', '8']",0.7534530880984757,0.7983671396563463,"[(1.5967342793126926, 0.7983671396563463), (0.7983671396563463, 0.7983671396563463)]","[(504, 50), (483, 56)]",False,Automated detection
2025-06-20 17:01:26,"['7', '16']",0.7325372037479331,1.7852031952736584,"[(1.5967342793126926, 0.7983671396563463), (0.0, 0.0)]","[(504, 50), (476, 56)]",False,Automated detection
2025-06-20 17:01:26,"['8', '16']",0.9248629997970368,1.12906163665502,"[(0.7983671396563463, 0.7983671396563463), (0.0, 0.0)]","[(483, 56), (476, 56)]",False,Automated detection
2025-06-20 17:01:28,"['3', '11']",0.346396690616155,1.2228577202082003,"[(-0.5468785978391908, 0.0), (0.0, 1.0937571956783816)]","[(206, 116), (346, 115)]",False,Automated detection
2025-06-20 17:01:28,"['6', '8']",0.5655136760973776,1.7293819727710804,"[(-1.0937571956783816, 1.0937571956783816), (0.5468785978391908, 0.5468785978391908)]","[(471, 56), (484, 57)]",False,Automated detection
2025-06-20 17:01:28,"['6', '16']",0.5420769176018411,1.5468062600715304,"[(-1.0937571956783816, 1.0937571956783816), (0.0, 0.0)]","[(471, 56), (476, 56)]",False,Automated detection
2025-06-20 17:01:29,"['11', '14']",0.7677444647724303,0.6924784689311195,"[(-0.6924784689311195, 1.384956937862239), (-1.384956937862239, 1.384956937862239)]","[(345, 117), (335, 120)]",False,Automated detection
2025-06-20 17:01:30,"['11', '19']",0.6328291732393059,26.78405005120716,"[(-1.5101654238589204, 6.795744407365142), (-12.490277854293632, 31.22569463573408)]","[(343, 126), (394, 138)]",False,Automated detection
2025-06-20 17:01:31,"['7', '8']",0.7264565544952285,0.5770557048154381,"[(2.8852785240771905, 1.7311671144463143), (2.8852785240771905, 2.3082228192617524)]","[(511, 55), (490, 62)]",False,Automated detection
2025-06-20 17:01:31,"['14', '19']",0.5865305450354026,7.1956124260966465,"[(-6.347612752969819, 5.1935013433389425), (-5.275177272853043, 12.308746969990434)]","[(324, 129), (393, 140)]",False,Automated detection
2025-06-20 17:01:32,"['3', '14']",0.33895875882331866,3.7581829377028475,"[(0.0, -0.8858122133964212), (-2.6574366401892635, 1.7716244267928425)]","[(206, 115), (321, 131)]",False,Automated detection
